method,lambda,mask_bits,fitness,auc,selected_count,selected_ratio,seconds,model_fits_so_far,final_cv_auc,final_cv_fitness,final_cv_seconds,final_cv_folds,run_dir,preset,seed,mode,device,rows,search_features
SA,0.2,000100010000010110000000000000000000000010100000101000010000010000100000010000010000000100000100000000000000010110001000011010000101100110100000000000,0.7905198618307427,0.8291865284974094,29,0.1933333333333333,2833.6707566999976,41755,0.8537209249947392,0.8150542583280725,12.86845049999829,5,results\run_20260614_123407,word_strict,7,real,cpu,20000,150
TopK_MI_23,0.2,111111111111111111111110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.6341908462867013,0.6648575129533679,23,0.1533333333333333,0.5616025000053924,41760,0.695838999569707,0.6651723329030403,10.76874320000934,5,results\run_20260614_123407,word_strict,7,real,cpu,20000,150
TopK_MI_29,0.2,111111111111111111111111111110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.6578089069824822,0.6964755736491488,29,0.1933333333333333,0.5383060000021942,41765,0.7152706555154486,0.6766039888487819,12.029158799996369,5,results\run_20260614_123407,word_strict,7,real,cpu,20000,150
AllSearchFeatures,0.0,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,0.8291012213175424,0.8291012213175424,150,1.0,2.2771398999902885,5,0.8584188459330404,0.8584188459330404,21.860126700004912,5,results\run_20260615_005758,word_strict,42,real,cpu,20000,150
RandomSearch,0.0,100111110110110011111111111100111111011111011110001010011010100000010011101001101110111101011111101111111101011111001010110000111011010010010110111000,0.8357749814951887,0.8357749814951887,95,0.6333333333333333,5445.093925399997,25010,0.8559677954265299,0.8559677954265299,16.822768600002746,5,results\run_20260615_005758,word_strict,42,real,cpu,20000,150
GA,0.0,010000011011000110000000000000110000111110001111111001111010111001011011011100011101111010000101011110101110111000100101110100111001011000000011111101,0.8416726498889713,0.8416726498889713,77,0.5133333333333333,2035.0570131999996,34165,0.8560839647225572,0.8560839647225572,14.328980999998748,5,results\run_20260615_005758,word_strict,42,real,cpu,20000,150
SA,0.0,001101110011100000001110000110000110111110001100110000010101011001101010111010001010110011000101101010111110110000101100101000110010111011000110101111,0.8405140636565506,0.8405140636565506,75,0.5,2804.7352856999933,55985,0.8574389462996784,0.8574389462996784,14.026376299996627,5,results\run_20260615_005758,word_strict,42,real,cpu,20000,150
TopK_MI_75,0.0,111111111111111111111111111111111111111111111111111111111111111111111111111000000000000000000000000000000000000000000000000000000000000000000000000000,0.7434507772020725,0.7434507772020725,75,0.5,0.4906031999998959,55990,0.7546379464054189,0.7546379464054189,12.827204599991092,5,results\run_20260615_005758,word_strict,42,real,cpu,20000,150
TopK_MI_77,0.0,111111111111111111111111111111111111111111111111111111111111111111111111111110000000000000000000000000000000000000000000000000000000000000000000000000,0.7405434863064396,0.7405434863064396,77,0.5133333333333333,0.4843021999986376,55995,0.7545155243324408,0.7545155243324408,13.13527690000774,5,results\run_20260615_005758,word_strict,42,real,cpu,20000,150
AllSearchFeatures,0.05,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,0.7791012213175423,0.8291012213175424,150,1.0,0.7820970000029774,5,0.8584188459330404,0.8084188459330404,22.24734029998945,5,results\run_20260615_005758,word_strict,42,real,cpu,20000,150
RandomSearch,0.05,100000110000000010101000000010001000000100001000000011001111100000100000011000101100000100000100001001000010011010010101000000100100000000000000001010,0.8129858129780408,0.8256524796447076,38,0.2533333333333333,2380.778550499992,25010,0.8479428558945186,0.8352761892278519,10.07082470000023,5,results\run_20260615_005758,word_strict,42,real,cpu,20000,150
GA,0.05,100011000010100000010001101110100000000100001000001011110000000010001010001100011001010000110000001001100000010100010010101110111001101011101010111001,0.8214449173451763,0.840111584011843,56,0.3733333333333333,872.4454981999879,34235,0.8567104592742121,0.8380437926075454,12.70999839999422,5,results\run_20260615_005758,word_strict,42,real,cpu,20000,150
